Код_ISO_субъекта,Субъект_РФ,Место_в_регионе,Профессиональная_группа,Сложность_поиска_работы_в_группе_1_10,Индекс_при_других_настройках_min,Индекс_при_других_настройках_max,Лучшее_место_при_других_настройках,Худшее_место_при_других_настройках,Потребность_в_общем_числе_рабочих_мест_pct,Требуется_работников_человек,Списочная_численность_работников_человек,Требуется_на_10_тыс_рабочей_силы,Эквивалент_вакансий_с_учетом_оплаты,Оценочная_зарплата_группы_2025_руб,Оценочный_зарплатный_запас_группы_2025_руб,Средняя_зарплата_группы_по_РФ_2025_руб,Привлекательность_зарплаты_1_10,Вес_качества_оплаты_0_1,Медианная_зарплата_региона_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Лог_отношение_доли_занятых_к_доле_вакансий,Kappa_метод_моментов,Оценка_межрегиональной_дисперсии,Робастный_z_доли_вакансий,Статус_наблюдения,Структурный_ноль_локального_рынка,Размер_группы_к_медианной_группе_региона,Сложность_трудоустройства_в_регионе_1_10,Скорректированная_доля_вакансий_pct,Доля_вакансий_с_учетом_оплаты_pct,Вес_региональных_данных_pct,Доля_группы_среди_занятых_pct,Доля_группы_среди_вакансий_pct
RU-AST,Астраханская область,1,Руководители,8.35,8.22,8.48,1,1,3.18,346.52,10550.46,6.92,346.52,90939.2100145093,72190.2100145093,177990.0,8.6,1.0,49651.0,18749.0,0.6610186694732313,146.16402115495765,0.0002852555978408675,-0.4,Устойчивая база,False,0.7570771065559301,5.3,3.2,3.2,98.7,8.13,4.19
RU-AST,Астраханская область,2,Офисные и учётные служащие,7.42,7.19,7.65,2,2,5.08,333.68,6240.21,6.66,222.76923038928163,33147.671595715125,14398.671595715125,64878.0,1.89,0.6676133732596549,49651.0,18749.0,0.17266222181099983,101.86360214376505,0.0006524156213050596,-0.65,Устойчивая база,False,0.4477833318264209,5.3,5.11,3.41,98.5,4.81,4.04
RU-AST,Астраханская область,3,"Обслуживание, торговля и охрана",6.9,6.64,7.16,3,3,5.84,979.68,15808.96,19.56,599.9921266940388,30408.10170921701,11659.101709217011,59516.0,1.49,0.6124368433509297,49651.0,18749.0,0.027222282419279566,111.62161988428772,0.0006390395513437586,-0.1,Устойчивая база,False,1.1344151529372593,5.3,5.85,3.58,99.3,12.18,11.85
RU-AST,Астраханская область,4,Специалисты высшей квалификации,6.14,6.11,6.17,4,5,5.02,1975.08,37398.06,39.44,1975.08,52624.0617623149,33875.0617623149,102998.0,5.08,1.0,49651.0,18749.0,0.18773110061629106,144.61887250545854,0.00038278707116992195,-0.36,Устойчивая база,False,2.6836000568321254,5.3,5.02,5.02,99.6,28.81,23.89
RU-AST,Астраханская область,5,Неквалифицированные рабочие,6.03,5.72,6.33,4,5,7.28,1051.53,13400.38,21.0,563.3934544500355,26602.23522571749,7853.23522571749,52067.0,1.27,0.5357844801860484,49651.0,18749.0,-0.20866669856436637,70.670421472643,0.0011936050185097405,0.06,Устойчивая база,False,0.9615809089982763,5.3,7.29,3.91,99.5,10.32,12.72
RU-AST,Астраханская область,6,Специалисты средней квалификации,5.28,5.25,5.32,6,6,6.23,1160.25,17458.99,23.17,1023.4613496743124,43797.353564041616,25048.353564041616,85722.0,3.9,0.8821041583058068,49651.0,18749.0,-0.04159620509236039,103.46780906003967,0.000599737808997421,0.04,Устойчивая база,False,1.2528175674415067,5.3,6.23,5.5,99.4,13.45,14.03
RU-AST,Астраханская область,7,"Операторы машин, сборщики и водители",4.21,4.13,4.29,7,7,6.95,1107.05,14813.49,22.1,1107.05,50030.10497123864,31281.104971238638,97921.0,4.78,1.0,49651.0,18749.0,-0.1598140208514974,119.67320227989055,0.0006663313462581509,-0.46,Устойчивая база,False,1.0629824810667217,5.3,6.96,6.96,99.3,11.41,13.39
RU-AST,Астраханская область,8,"Промышленность, строительство и транспорт",3.14,3.01,3.26,8,8,8.49,1292.14,13935.78,25.8,1292.14,50131.77867646302,31382.778676463022,98120.0,4.8,1.0,49651.0,18749.0,-0.3752627103245127,52.95679822120663,0.0017222836868633143,-0.27,Устойчивая база,False,1.0,5.3,8.5,8.5,99.7,10.74,15.63
RU-AST,Астраханская область,9,Сельское и лесное хозяйство,2.62,2.51,2.72,9,9,10.84,22.1,181.76,0.44,15.771029749225656,35432.00896284176,16683.008962841763,69349.0,2.21,0.7136212556210704,49651.0,18749.0,-0.6096947024485465,8.672962346589573,0.01170183158124693,0.07,"Малый локальный рынок, но спрос наблюдается — строка сохранена со сглаживанием",False,0.013042685805889586,5.3,12.72,9.08,13.4,0.14,0.27
RU-BA,Республика Башкортостан,1,Руководители,9.2,9.06,9.34,1,2,2.04,1089.19,52338.44,5.63,1089.19,112386.87772049516,95184.87772049516,177990.0,9.26,1.0,61361.0,17202.0,1.0182671535243155,146.16402115495765,0.0002852555978408675,-1.63,Устойчивая база,False,0.8809872603155928,6.47,2.05,2.05,99.7,8.3,2.99
RU-BA,Республика Башкортостан,2,Офисные и учётные служащие,9.18,9.02,9.35,1,2,2.67,819.5,29891.42,4.23,547.1091593862872,40965.424196585685,23763.424196585685,64878.0,3.65,0.6676133732596549,61361.0,17202.0,0.7405782046914361,101.86360214376505,0.0006524156213050596,-2.64,Устойчивая база,False,0.5031475950132008,6.47,2.69,1.79,99.7,4.74,2.25
RU-BA,Республика Башкортостан,3,Специалисты средней квалификации,8.1,8.0,8.21,3,3,3.78,2918.14,74236.18,15.07,2574.103428518507,54126.79325780261,36924.79325780261,85722.0,5.54,0.8821041583058068,61361.0,17202.0,0.38358850685317747,103.46780906003967,0.000599737808997421,-1.31,Устойчивая база,False,1.2495811650957727,6.47,3.78,3.34,99.9,11.78,8.02
RU-BA,Республика Башкортостан,4,Специалисты высшей квалификации,7.93,7.89,7.98,4,4,3.66,6892.28,181520.26,35.6,6892.28,65035.24710071105,47833.24710071105,102998.0,7.25,1.0,61361.0,17202.0,0.41850194063312524,144.61887250545854,0.00038278707116992195,-1.41,Устойчивая база,False,3.0554414030906174,6.47,3.66,3.66,99.9,28.79,18.94
RU-BA,Республика Башкортостан,5,"Обслуживание, торговля и охрана",7.36,7.11,7.63,5,5,5.26,3301.02,59408.85,17.05,2021.666268638286,37579.7371448564,20377.7371448564,59516.0,3.01,0.6124368433509297,61361.0,17202.0,0.037735279017572766,111.62161988428772,0.0006390395513437586,-0.36,Устойчивая база,False,1.0,6.47,5.26,3.22,99.8,9.42,9.07
